"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","50162","N/A","10/12/2020","10/17/2020","12","24","8.8","","0.7","HIGH","0.4","4.5","57","7.2","4.0","2.9","0.9","3.8","10","8.2","1.8","42","2729","122","160","26.1","0.02","2.1","2.8","0.12","11.3","7.9","14.22","1.27","1.27","2.77","0.42","1.38","2.00","18.1","19.9","49.9","44.24","10.4","18.1","7.7","4.92","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50163","N/A","10/12/2020","10/17/2020","24","36","8.5","","0.9","HIGH","0.3","3.9","53","13.6","3.3","10.2","1.4","11.6","6","4.9","0.9","35","3032","115","179","45.1","0.01","1.6","1.8","0.08","8.3","7.3","16.32","0.32","0.96","2.32","0.19","0.69","1.79","45.3","11.6","41.4","54.27","36.7","45.3","8.6","5.52","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50164","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.1","HIGH","0.7","7.7","68","21.4","4.5","16.6","1.0","17.6","12","9.7","2.2","60","2792","127","261","33.3","0.01","2.7","3.4","0.10","11.5","11.3","15.03","0.27","2.05","2.47","0.76","1.48","2.58","70.8","24.2","72.5","90.97","59.8","70.8","11.1","7.07","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50165","N/A","10/12/2020","10/17/2020","12","24","8.4","","2.2","HIGH","0.8","6.7","43","42.1","5.4","36.5","0.8","37.3","3","3.1","0.3","23","3009","177","446","104.0","0.01","2.3","1.1","0.08","8.8","15.7","7.89","0.15","3.40","2.00","0.16","0.18","2.06","146.5","7.5","27.4","110.33","131.4","146.5","15.1","9.64","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50166","N/A","10/12/2020","10/17/2020","24","36","8.1","","2.5","HIGH","0.7","3.9","41","41.4","4.1","36.8","1.0","37.8","3","2.8","0.2","12","3038","211","448","129.3","0.01","1.5","0.8","0.07","7.3","9.6","9.85","0.11","1.58","2.54","0.06","0.15","1.62","141.9","6.6","15.0","100.87","132.5","141.9","9.5","6.05","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50167","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.7","HIGH","0.6","7.2","51","8.5","4.7","3.2","1.7","4.9","10","8.5","1.2","57","2840","123","188","21.2","0.03","2.8","3.0","0.14","10.3","14.1","10.87","1.22","2.65","2.04","0.52","0.70","2.21","27.0","20.8","68.4","59.62","11.6","27.0","15.5","9.91","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50168","N/A","10/12/2020","10/17/2020","12","24","8.9","","0.6","HIGH","0.8","7.6","51","7.7","3.6","3.4","1.2","4.6","3","2.8","0.5","25","3023","160","260","27.3","0.01","1.8","1.2","0.07","6.7","14.8","14.31","0.88","2.13","1.46","0.24","0.30","2.14","24.1","7.1","30.0","33.16","12.2","24.1","11.9","7.61","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50169","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.9","HIGH","0.7","4.3","43","5.1","3.5","1.2","0.7","1.9","4","2.7","0.9","13","2898","185","361","38.1","0.01","1.3","0.8","0.06","5.5","10.0","12.13","2.29","1.42","2.12","0.26","0.59","1.64","12.0","6.8","16.0","18.30","4.3","12.0","7.7","4.91","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50170","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.6","7.6","74","12.1","8.0","3.1","1.4","4.5","12","11.3","1.0","55","2826","121","189","22.6","0.02","2.8","3.6","0.13","11.1","10.2","9.32","1.95","3.26","4.70","0.31","0.71","3.04","28.0","26.7","65.9","61.25","11.3","28.0","16.7","10.67","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50171","N/A","10/12/2020","10/17/2020","12","24","8.9","","0.6","HIGH","0.5","7.6","49","7.1","4.3","2.2","1.1","3.3","9","7.6","1.8","40","2849","131","195","23.5","0.02","2.4","2.2","0.10","9.7","15.5","11.38","1.56","2.67","1.64","0.82","0.95","2.17","21.3","19.3","47.9","45.15","7.8","21.3","13.5","8.65","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50172","N/A","10/12/2020","10/17/2020","24","36","9.0","","0.5","HIGH","0.6","3.8","41","5.8","4.4","1.1","1.1","2.3","22","20.2","1.8","29","2665","123","214","23.9","0.01","2.6","1.7","0.10","10.9","9.2","9.47","3.00","1.60","2.74","0.49","1.29","1.64","13.9","47.6","34.9","44.89","4.1","13.9","9.8","6.25","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50173","N/A","10/12/2020","10/17/2020","0","12","8.9","","0.4","HIGH","0.6","6.2","66","9.7","4.7","4.9","1.2","6.1","15","12.5","2.4","49","2824","119","176","17.8","0.01","3.3","3.6","0.12","11.4","9.4","14.06","0.92","1.76","2.91","0.68","1.71","2.40","28.2","30.3","58.7","59.26","17.6","28.2","10.7","6.83","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50174","N/A","10/12/2020","10/17/2020","12","24","8.8","","0.7","HIGH","0.7","5.6","48","6.1","3.6","2.3","0.9","3.2","5","3.9","0.7","30","3048","139","194","24.5","0.01","1.9","1.2","0.07","6.4","11.7","13.20","1.48","1.70","1.94","0.26","0.48","1.88","17.6","9.5","36.3","33.09","8.1","17.6","9.5","6.08","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50175","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.8","HIGH","0.7","4.9","39","6.5","2.6","3.5","0.8","4.3","3","2.8","0.3","18","3162","162","247","44.0","0.01","2.0","1.0","0.04","5.7","12.6","14.76","0.69","1.33","1.30","0.12","0.20","1.53","20.2","6.7","22.2","26.59","12.5","20.2","7.6","4.88","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50176","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.6","HIGH","0.7","7.4","67","9.7","4.4","4.9","1.5","6.3","10","8.7","1.1","47","2849","126","189","19.6","0.01","2.7","4.0","0.10","12.5","11.0","15.39","0.82","1.92","2.44","0.37","0.75","2.52","29.7","20.9","55.9","55.06","17.5","29.7","12.2","7.82","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50177","N/A","10/12/2020","10/17/2020","12","24","8.5","","0.9","HIGH","0.7","6.9","53","8.4","3.8","4.3","0.9","5.2","4","3.3","0.9","32","3022","150","245","37.0","0.01","2.0","1.6","0.06","7.7","13.0","14.16","0.81","1.95","1.80","0.37","0.57","2.13","25.9","8.5","38.8","39.27","15.6","25.9","10.3","6.62","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50178","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.9","HIGH","0.7","4.2","47","19.4","3.5","15.6","0.8","16.4","3","2.9","0.5","18","3079","169","305","53.9","0.02","2.0","0.8","0.07","6.3","9.0","13.51","0.22","1.24","2.23","0.15","0.39","1.71","63.5","7.0","21.6","54.16","56.2","63.5","7.4","4.72","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50179","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.9","HIGH","0.6","5.5","65","24.3","3.4","20.4","1.2","21.6","11","9.9","1.0","46","2797","119","179","24.2","0.01","2.4","3.9","0.07","11.6","8.5","19.06","0.16","1.15","2.24","0.26","0.75","2.18","81.8","23.3","54.7","88.75","73.4","81.8","8.3","5.33","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50180","N/A","10/12/2020","10/17/2020","12","24","8.5","","0.9","HIGH","0.6","4.8","44","22.3","3.9","18.2","0.9","19.1","4","3.6","0.3","32","3051","132","205","57.2","0.01","1.9","1.4","0.08","7.6","10.8","11.36","0.21","1.69","2.22","0.10","0.20","1.76","74.8","8.5","38.8","70.62","65.5","74.8","9.3","5.96","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50181","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.0","HIGH","0.6","5.2","45","27.3","4.2","23.0","1.0","24.0","5","4.6","0.2","19","3035","143","218","64.2","0.02","1.8","1.2","0.09","6.2","11.5","10.85","0.18","1.92","2.24","0.07","0.13","1.84","93.2","10.7","22.5","75.08","82.8","93.2","10.4","6.66","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50182","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.5","HIGH","0.7","9.2","61","18.7","4.2","13.9","1.2","15.1","10","8.1","1.5","47","2830","125","191","22.8","0.01","2.9","3.6","0.13","13.0","15.0","14.71","0.29","2.50","1.68","0.69","0.85","2.57","63.2","20.3","56.4","76.54","50.0","63.2","13.2","8.41","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50183","N/A","10/12/2020","10/17/2020","12","24","8.8","","0.5","HIGH","0.6","5.8","46","13.1","3.1","9.5","1.1","10.6","5","4.7","0.5","33","3078","123","162","26.7","0.01","1.8","1.8","0.07","8.0","12.5","14.94","0.31","1.55","1.55","0.17","0.29","1.82","43.8","11.2","39.4","52.12","34.2","43.8","9.6","6.16","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50184","N/A","10/12/2020","10/17/2020","24","36","8.7","","0.8","HIGH","0.5","4.7","42","17.4","4.1","13.2","0.8","14.0","5","4.5","0.9","25","3038","123","188","47.9","0.02","1.8","1.3","0.08","6.7","11.1","10.35","0.31","1.82","2.26","0.31","0.61","1.72","56.9","11.1","29.4","55.44","47.5","56.9","9.4","5.99","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50185","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.6","8.1","61","19.7","5.3","14.1","0.9","15.0","8","7.6","0.6","51","2810","128","207","23.5","0.02","2.3","3.5","0.09","11.0","13.4","11.48","0.37","2.82","2.46","0.26","0.38","2.55","64.3","18.1","61.7","79.05","50.8","64.3","13.5","8.66","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50186","N/A","10/12/2020","10/17/2020","12","24","8.8","","0.7","HIGH","0.6","6.4","53","16.4","4.5","11.7","1.6","13.3","4","3.5","0.8","29","3061","138","217","26.4","0.01","1.9","1.5","0.08","6.9","12.1","11.83","0.38","2.16","2.30","0.27","0.48","2.14","55.6","8.7","34.9","56.38","42.1","55.6","13.5","8.61","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50187","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.3","HIGH","0.7","4.4","47","23.7","4.5","18.8","1.4","20.2","4","2.8","0.8","21","3048","167","328","48.7","0.01","1.5","1.0","0.04","5.9","9.3","10.43","0.24","1.69","2.86","0.23","0.61","1.84","78.6","6.9","25.8","65.89","67.7","78.6","10.9","7.00","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50188","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.6","HIGH","0.6","7.2","62","15.7","5.7","9.7","1.3","10.9","11","9.6","1.1","52","2745","127","194","20.0","0.02","2.9","3.6","0.10","13.2","11.6","10.97","0.56","2.63","3.02","0.37","0.68","2.52","48.7","23.0","62.3","71.28","34.7","48.7","14.0","8.93","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50189","N/A","10/12/2020","10/17/2020","12","24","8.5","","0.9","HIGH","0.8","8.0","55","8.8","4.9","3.6","1.1","4.7","5","4.3","0.5","28","2988","138","216","28.7","0.02","2.7","2.1","0.07","7.8","14.6","11.25","1.24","2.84","2.04","0.23","0.30","2.39","27.0","10.4","33.8","38.26","12.8","27.0","14.2","9.11","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50190","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.3","HIGH","0.8","5.9","47","14.7","3.1","11.2","0.6","11.8","2","2.2","0.3","10","3105","172","331","50.3","0.02","1.3","0.9","0.04","5.5","12.6","15.31","0.26","1.54","1.53","0.10","0.17","1.84","48.1","5.2","12.5","39.11","40.3","48.1","7.8","5.00","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50191","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.7","HIGH","0.7","7.3","57","11.1","5.5","5.5","1.3","6.8","12","11.1","1.2","47","2760","121","181","21.3","0.01","2.5","3.7","0.09","10.8","12.9","10.33","0.98","2.83","2.67","0.47","0.74","2.41","34.7","26.6","56.1","60.64","19.7","34.7","15.0","9.60","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50192","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.9","HIGH","0.8","5.7","48","9.9","3.6","6.0","1.0","7.0","4","2.9","0.7","21","2752","171","308","49.6","0.01","2.6","1.3","0.08","11.5","11.9","13.18","0.59","1.73","1.91","0.26","0.46","1.89","31.4","7.3","25.5","35.68","21.7","31.4","9.7","6.18","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50193","N/A","10/12/2020","10/17/2020","24","36","8.7","","0.9","HIGH","0.6","6.2","42","13.6","3.3","10.1","0.9","11.0","3","2.5","0.7","13","3077","192","344","48.6","0.02","1.5","0.8","0.02","7.6","14.9","12.56","0.32","1.98","1.33","0.31","0.38","1.78","46.8","6.4","15.9","40.37","36.4","46.8","10.4","6.66","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50194","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.9","HIGH","0.6","5.9","69","11.5","5.2","5.6","1.9","7.5","12","10.2","1.3","46","2741","123","172","19.6","0.01","3.1","4.3","0.13","13.6","8.6","13.36","0.82","1.77","3.38","0.34","0.99","2.48","33.4","24.3","55.4","58.57","20.2","33.4","13.2","8.45","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50195","N/A","10/12/2020","10/17/2020","12","24","8.4","","0.9","HIGH","0.8","5.8","60","9.6","5.4","3.6","1.2","4.9","5","4.9","0.3","27","2911","155","240","35.0","0.01","2.0","1.9","0.07","8.4","9.7","11.19","1.28","2.07","3.29","0.07","0.18","2.32","25.0","11.4","32.6","36.76","13.1","25.0","11.9","7.63","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50196","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.8","HIGH","0.8","3.8","39","11.4","3.2","8.2","1.1","9.3","3","2.7","0.8","23","3072","172","300","41.1","0.02","1.4","0.8","0.10","5.4","9.7","12.32","0.38","1.23","1.93","0.23","0.57","1.48","37.8","6.6","27.4","40.45","29.5","37.8","8.3","5.28","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50197","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.3","HIGH","0.7","6.9","58","12.5","4.7","7.6","1.1","8.7","12","9.3","2.3","49","2798","127","176","20.2","0.01","2.8","3.5","0.11","12.8","12.0","12.27","0.60","2.25","2.44","0.84","1.49","2.31","39.2","23.3","58.4","63.41","27.3","39.2","11.9","7.62","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50198","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.7","HIGH","0.8","6.4","44","7.9","4.6","2.8","1.2","3.9","5","4.2","0.8","33","3133","142","180","28.0","0.01","1.9","1.3","0.08","6.3","14.7","9.45","1.43","2.71","1.91","0.34","0.43","1.97","23.9","10.3","39.1","38.86","9.9","23.9","13.9","8.92","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50199","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.5","HIGH","0.6","5.3","62","10.4","4.9","5.3","1.2","6.5","10","8.4","1.1","49","2839","130","173","18.3","0.01","2.5","3.5","0.07","11.2","8.5","12.81","0.88","1.66","3.21","0.28","0.82","2.26","29.5","20.1","59.1","56.21","19.2","29.5","10.3","6.60","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50200","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.7","HIGH","0.6","6.2","52","7.5","4.0","3.3","0.9","4.2","5","4.2","0.9","29","3085","138","175","30.7","0.02","1.8","1.5","0.08","5.7","11.8","13.22","1.13","1.88","2.09","0.31","0.56","2.06","22.0","10.3","35.3","35.72","11.9","22.0","10.1","6.48","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50201","N/A","10/12/2020","10/17/2020","24","36","8.7","","0.7","HIGH","0.6","4.7","49","16.1","3.3","12.6","1.2","13.8","3","3.3","0.1","22","3098","148","228","48.4","0.01","1.5","1.2","0.09","4.7","9.6","14.94","0.26","1.26","2.01","0.02","0.05","1.77","54.3","7.7","26.7","51.09","45.4","54.3","9.0","5.73","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50202","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.4","HIGH","0.6","6.8","54","8.8","4.0","4.4","1.3","5.7","14","12.4","1.9","48","2752","120","178","20.3","0.02","2.8","4.1","0.11","12.6","12.7","13.45","0.83","2.02","1.97","0.73","1.19","2.15","27.9","30.2","57.1","58.18","15.8","27.9","12.1","7.75","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50203","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.7","HIGH","0.7","4.5","42","4.6","2.2","2.2","1.0","3.2","4","3.3","1.0","28","3133","140","170","29.0","0.01","1.5","1.1","0.09","5.1","10.7","18.77","0.93","0.96","1.28","0.31","0.67","1.51","14.9","8.2","33.7","29.57","7.9","14.9","7.1","4.51","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50204","N/A","10/12/2020","10/17/2020","24","36","8.5","","0.9","HIGH","0.8","3.8","41","5.6","1.5","3.7","1.7","5.4","3","2.6","0.6","21","3213","159","220","55.1","0.02","1.4","0.9","0.02","4.4","9.3","28.06","0.35","0.54","0.91","0.17","0.45","1.34","21.4","6.3","24.9","28.63","13.4","21.4","8.0","5.14","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50205","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.7","HIGH","0.7","9.5","51","12.4","3.2","7.2","2.7","9.9","15","14.4","1.1","47","2799","122","165","17.2","0.03","2.4","5.0","0.09","12.1","18.7","15.75","0.35","2.41","0.81","0.61","0.48","2.29","44.2","34.5","56.4","69.89","25.9","44.2","18.2","11.66","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50206","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.6","HIGH","0.4","6.0","48","7.2","3.6","2.2","2.0","4.2","6","5.9","0.3","38","3074","119","131","23.5","0.02","1.7","2.1","0.12","6.6","12.5","13.25","1.01","1.81","1.82","0.10","0.18","1.92","21.6","13.7","45.9","42.12","8.0","21.6","13.6","8.69","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50207","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.4","HIGH","0.4","5.0","43","25.0","2.4","21.5","1.7","23.2","5","4.8","0.1","33","3080","106","178","33.9","0.02","1.6","2.2","0.07","5.6","11.7","17.78","0.11","1.12","1.28","0.04","0.07","1.59","87.7","11.2","39.4","80.18","77.4","87.7","10.3","6.58","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50208","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.6","HIGH","0.6","7.8","50","19.6","2.9","15.8","1.1","16.9","15","13.2","2.2","52","2677","122","184","22.4","0.02","2.7","4.5","0.13","12.7","15.7","16.89","0.18","1.85","1.09","1.02","1.14","2.07","67.6","32.7","62.2","87.13","56.9","67.6","10.7","6.86","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50209","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.6","HIGH","0.4","5.5","40","19.0","3.1","15.6","1.3","16.9","4","4.2","0.1","31","3031","111","149","20.6","0.01","1.8","2.1","0.07","7.7","13.7","12.89","0.20","1.71","1.41","0.05","0.07","1.66","67.1","9.9","36.9","65.20","56.2","67.1","10.9","6.97","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50210","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.6","HIGH","0.3","5.8","41","14.8","2.2","12.2","1.2","13.4","4","3.7","0.1","26","3181","108","146","27.7","0.01","1.5","2.1","0.02","5.8","14.0","18.51","0.18","1.25","0.99","0.03","0.04","1.63","52.8","8.5","30.9","52.56","43.9","52.8","8.9","5.70","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50211","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.5","HIGH","0.7","8.8","57","7.1","3.4","3.5","1.3","4.9","13","11.5","1.3","46","2747","122","186","18.4","0.02","3.2","4.1","0.08","13.1","15.3","17.16","0.89","2.05","1.30","0.59","0.70","2.36","24.9","27.8","55.2","54.37","12.7","24.9","12.2","7.81","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50212","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.6","HIGH","0.8","6.2","39","4.5","2.3","2.0","0.7","2.7","4","3.3","0.8","30","3175","133","187","27.4","0.01","2.3","1.1","0.05","6.7","15.9","17.29","1.01","1.43","0.82","0.38","0.42","1.62","14.8","8.5","35.7","30.62","7.2","14.8","7.7","4.90","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50213","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.9","HIGH","0.9","5.0","39","4.1","1.6","2.2","1.4","3.6","4","2.8","1.1","20","3301","150","215","49.9","0.02","1.2","0.8","0.04","4.1","12.8","25.08","0.62","0.80","0.76","0.40","0.65","1.44","15.7","7.5","23.5","24.68","7.9","15.7","7.8","4.99","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50214","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.6","HIGH","0.6","6.9","46","8.9","2.3","5.9","1.7","7.6","13","12.4","1.1","46","2765","121","206","25.5","0.01","2.7","4.1","0.08","13.0","15.0","20.25","0.34","1.36","0.91","0.49","0.60","1.84","32.4","29.7","54.9","59.72","21.4","32.4","11.0","7.03","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50215","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.8","HIGH","0.7","6.9","42","10.1","2.2","7.5","1.8","9.3","4","3.7","0.8","32","3102","142","218","41.0","0.01","2.1","1.9","0.07","8.2","16.3","18.91","0.29","1.46","0.78","0.38","0.40","1.76","38.7","9.4","38.7","47.76","26.9","38.7","11.8","7.53","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50216","N/A","10/12/2020","10/17/2020","24","36","8.5","","0.9","HIGH","0.8","4.7","38","7.7","1.9","5.7","1.6","7.3","3","2.4","0.7","17","3284","144","220","36.7","0.01","1.3","1.0","0.06","4.6","12.4","20.26","0.32","0.93","0.94","0.27","0.45","1.41","29.6","6.2","20.6","31.67","20.6","29.6","9.0","5.78","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
